App,as_app_id,as_title,as_store,as_genres,as_primary_genre,as_content_rating,as_size,as_required_os_version,as_released,as_updated,as_version,as_price,as_free,as_score,as_reviews,as_current_version_score,as_current_version_reviews
Photo Editor & Candy Camera & Grid & ScrapBook,597851882,Photo Editor,apple,"Photo & Video, Graphics & Design",Photo & Video,12+,224247808,15.0,2013-03-04T23:48:46Z,2025-05-05T16:58:11Z,5.5.7,0.0,True,4.6113,43072,4.6113,43072
Coloring book moana,1400326821,Disney Coloring World,apple,"Entertainment, Education",Entertainment,4+,1298546688,13.0,2018-12-20T08:52:32Z,2025-08-28T09:01:46Z,17.2.0,0.0,True,4.38417,204845,4.38417,204845
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",6447543971,Cool Themes & Fonts: Cute Text,apple,"Graphics & Design, Entertainment",Graphics & Design,4+,162102272,15.0,2023-05-18T07:00:00Z,2025-09-19T02:15:03Z,1.9.8,0.0,True,4.64858,30573,4.64858,30573
Sketch - Draw & Paint,506003812,"Paper: Sketch, Draw & Create",apple,"Productivity, Graphics & Design",Productivity,4+,175809536,13.0,2012-03-29T07:00:00Z,2025-07-22T18:59:39Z,5.5.9,0.0,True,4.57904,68151,4.57904,68151
Pixel Draw - Number Art Coloring Book,1315399681,Pixelmania - Number Coloring,apple,"Entertainment, Puzzle, Family, Games",Entertainment,4+,54242304,12.0,2017-11-22T17:24:19Z,2023-12-26T04:37:20Z,3.3.0,0.0,True,4.47975,4346,4.47975,4346
Paper flowers instructions,1084194490,Flowers - Adult Coloring Book,apple,"Entertainment, Family, Trivia, Games",Entertainment,4+,74737664,12,2016-02-17T20:34:34Z,2025-09-18T10:24:04Z,4.8.5,0.0,True,4.59039,3706,4.59039,3706
Smoke Effect Photo Maker - Smoke Editor,790284480,Avatan – Photo Editor,apple,"Photo & Video, Entertainment",Photo & Video,12+,169516032,13.0,2014-01-13T12:38:23Z,2025-05-22T00:46:20Z,5.34,0.0,True,4.70638,5708,4.70638,5708
Infinite Painter,1146543227,Infinite Painter,apple,"Graphics & Design, Productivity",Graphics & Design,4+,101971968,15.0,2016-08-26T19:38:20Z,2025-02-22T19:59:34Z,7.1.4,0.0,True,4.13443,9744,4.13443,9744
Garden Coloring Book,1512344831,Coloring Book -Color by Number,apple,"Games, Entertainment, Puzzle, Board",Games,4+,123215872,12.0,2020-06-15T07:00:00Z,2025-07-25T21:24:52Z,3.0.4,0.0,True,4.75393,203015,4.75393,203015
Kids Paint Free - Drawing Fun,908698556,Drawing Games Apps for Kids,apple,"Education, Entertainment",Education,4+,450893824,12.0,2015-03-30T21:37:01Z,2025-09-15T09:35:40Z,7.3.1,0.0,True,4.49533,37889,4.49533,37889
Text on Photo - Fonteee,1033009631,Adding Texts on Photo,apple,Photo & Video,Photo & Video,12+,29719552,15.0,2015-09-02T23:08:37Z,2023-09-15T12:47:47Z,17.0.0,0.0,True,4.77123,6487,4.77123,6487
Name Art Photo Editor - Focus n Filters,597851882,Photo Editor,apple,"Photo & Video, Graphics & Design",Photo & Video,12+,224247808,15.0,2013-03-04T23:48:46Z,2025-05-05T16:58:11Z,5.5.7,0.0,True,4.6113,43072,4.6113,43072
Tattoo Name On My Photo Editor,1057590314,Tattoodo - Your Next Tattoo,apple,"Lifestyle, Photo & Video",Lifestyle,17+,78959616,16.0,2016-03-08T12:36:54Z,2025-08-29T16:34:52Z,10.1.0,0.0,True,4.69367,7156,4.69367,7156
Mandala Coloring Book,6467385373,Mandala Coloring Book Game,apple,"Games, Casual, Entertainment, Board",Games,4+,219499520,15.0,2023-09-26T07:00:00Z,2025-09-09T00:16:11Z,1.1.3,0.0,True,4.84924,1539,4.84924,1539
